i_collection,i_title,title,publish_date,words,vocab,cum. vocab
novel,a_study_in_scarlet,a_study_in_scarlet,1887-12-01,44013,4570,4570
novel,the_sign_of_the_four,the_sign_of_the_four,1890-02-01,43830,4318,6502
1_the_adventures_of_sherlock_holmes,a_scandal_in_bohemia,a_scandal_in_bohemia,1891-06-01,8659,1638,6821
1_the_adventures_of_sherlock_holmes,the_red_headed_league,the_red_headed_league,1891-08-01,9284,1657,7124
1_the_adventures_of_sherlock_holmes,a_case_of_identity,a_case_of_identity,1891-09-01,7090,1368,7315
1_the_adventures_of_sherlock_holmes,the_boscombe_valley_mystery,the_boscombe_valley_mystery,1891-10-01,9736,1617,7541
1_the_adventures_of_sherlock_holmes,the_five_orange_pips,the_five_orange_pips,1891-11-01,7425,1524,7753
1_the_adventures_of_sherlock_holmes,the_man_with_the_twisted_lip,the_man_with_the_twisted_lip,1891-12-01,9369,1681,7960
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_blue_carbuncle,the_adventure_of_the_blue_carbuncle,1892-01-01,7973,1498,8149
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_speckled_band,the_adventure_of_the_speckled_band,1892-02-01,9959,1709,8315
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_engineers_thumb,the_adventure_of_the_engineers_thumb,1892-03-01,8393,1521,8465
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_noble_bachelor,the_adventure_of_the_noble_bachelor,1892-04-01,8233,1518,8667
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_beryl_coronet,the_adventure_of_the_beryl_coronet,1892-05-01,9794,1543,8787
1_the_adventures_of_sherlock_holmes,the_adventure_of_the_copper_beeches,the_adventure_of_the_copper_beeches,1892-06-01,10077,1661,8961
2_the_memoirs_of_sherlock_holmes,silver_blaze,silver_blaze,1892-12-01,9748,1625,9131
4_his_last_bow,the_adventure_of_the_cardboard_box,the_adventure_of_the_cardboard_box,1893-01-01,8763,1507,9280
2_the_memoirs_of_sherlock_holmes,the_yellow_face,the_yellow_face,1893-02-01,7589,1254,9368
2_the_memoirs_of_sherlock_holmes,the_stock_brokers_clerk,the_stock_brokers_clerk,1893-03-01,6908,1308,9483
2_the_memoirs_of_sherlock_holmes,the_gloria_scott,the_gloria_scott,1893-04-01,7984,1513,9653
2_the_memoirs_of_sherlock_holmes,the_musgrave_ritual,the_musgrave_ritual,1893-05-01,7690,1484,9776
2_the_memoirs_of_sherlock_holmes,the_reigate_squires,the_reigate_squires,1893-06-01,7353,1316,9868
2_the_memoirs_of_sherlock_holmes,the_crooked_man,the_crooked_man,1893-07-01,7249,1352,9969
2_the_memoirs_of_sherlock_holmes,the_resident_patient,the_resident_patient,1893-08-01,6747,1380,10083
2_the_memoirs_of_sherlock_holmes,the_greek_interpreter,the_greek_interpreter,1893-09-01,7125,1374,10198
2_the_memoirs_of_sherlock_holmes,the_naval_treaty,the_naval_treaty,1893-11-01,12813,1808,10323
2_the_memoirs_of_sherlock_holmes,the_final_problem,the_final_problem,1893-12-01,7232,1460,10472
novel,the_hound_of_the_baskervilles,the_hound_of_the_baskervilles,1902-04-01,60017,4395,11237
3_the_return_of_sherlock_holmes,the_adventure_of_the_empty_house,the_adventure_of_the_empty_house,1903-10-01,8838,1712,11376
3_the_return_of_sherlock_holmes,the_adventure_of_the_norwood_builder,the_adventure_of_the_norwood_builder,1903-11-01,9421,1583,11467
3_the_return_of_sherlock_holmes,the_adventure_of_the_dancing_men,the_adventure_of_the_dancing_men,1903-12-01,9865,1571,11556
3_the_return_of_sherlock_holmes,the_adventure_of_the_solitary_cyclist,the_adventure_of_the_solitary_cyclist,1904-01-01,7990,1474,11656
3_the_return_of_sherlock_holmes,the_adventure_of_the_priory_school,the_adventure_of_the_priory_school,1904-02-01,11652,1854,11792
3_the_return_of_sherlock_holmes,the_adventure_of_black_peter,the_adventure_of_black_peter,1904-03-01,8272,1552,11885
3_the_return_of_sherlock_holmes,the_adventure_of_charles_augustus_milverton,the_adventure_of_charles_augustus_milverton,1904-04-01,6870,1413,11953
3_the_return_of_sherlock_holmes,the_adventure_of_the_six_napoleons,the_adventure_of_the_six_napoleons,1904-05-01,8496,1456,12059
3_the_return_of_sherlock_holmes,the_adventure_of_the_three_students,the_adventure_of_the_three_students,1904-06-01,6576,1208,12119
3_the_return_of_sherlock_holmes,the_adventure_of_the_golden_pince_nez,the_adventure_of_the_golden_pince_nez,1904-07-01,9131,1531,12200
3_the_return_of_sherlock_holmes,the_adventure_of_the_missing_three_quarter,the_adventure_of_the_missing_three_quarter,1904-08-01,8203,1526,12277
3_the_return_of_sherlock_holmes,the_adventure_of_the_abbey_grange,the_adventure_of_the_abbey_grange,1904-09-01,9337,1511,12352
3_the_return_of_sherlock_holmes,the_adventure_of_the_second_stain,the_adventure_of_the_second_stain,1904-12-01,9866,1623,12444
4_his_last_bow,the_adventure_of_wisteria_lodge,the_adventure_of_wisteria_lodge,1908-08-01,11578,1960,12607
4_his_last_bow,the_adventure_of_the_bruce_partington_plans,the_adventure_of_the_bruce_partington_plans,1908-12-01,10841,1785,12711
4_his_last_bow,the_adventure_of_the_devils_foot,the_adventure_of_the_devils_foot,1910-12-01,10115,1771,12817
4_his_last_bow,the_adventure_of_the_red_circle,the_adventure_of_the_red_circle,1911-04-01,7507,1381,12898
4_his_last_bow,the_disappearance_of_lady_frances_carfax,the_disappearance_of_lady_frances_carfax,1911-12-01,7827,1505,13009
4_his_last_bow,the_adventure_of_the_dying_detective,the_adventure_of_the_dying_detective,1913-11-01,5919,1214,13075
novel,the_valley_of_fear,the_valley_of_fear,1915-05-01,59138,4498,13684
4_his_last_bow,his_last_bow_an_epilogue_of_sherlock_holmes,his_last_bow_an_epilogue_of_sherlock_holmes,1917-09-01,6227,1377,13797
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_mazarin_stone,the_adventure_of_the_mazarin_stone,1921-10-01,5841,1204,13880
5_the_case_book_of_sherlock_holmes,the_problem_of_thor_bridge,the_problem_of_thor_bridge,1922-02-01,9786,1619,13955
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_creeping_man,the_adventure_of_the_creeping_man,1923-03-01,7801,1492,14060
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_sussex_vampire,the_adventure_of_the_sussex_vampire,1924-01-01,6055,1267,14128
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_three_garridebs,the_adventure_of_the_three_garridebs,1924-10-01,6325,1306,14198
5_the_case_book_of_sherlock_holmes,the_illustrious_client,the_illustrious_client,1924-11-01,9975,1809,14328
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_three_gables,the_adventure_of_the_three_gables,1926-09-01,6217,1239,14404
5_the_case_book_of_sherlock_holmes,the_blanched_soldier,the_blanched_soldier,1926-10-01,7827,1488,14485
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_lions_mane,the_adventure_of_the_lions_mane,1926-11-01,7307,1463,14569
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_retired_colourman,the_adventure_of_the_retired_colourman,1926-12-01,5629,1241,14629
5_the_case_book_of_sherlock_holmes,the_adventure_of_the_veiled_lodger,the_adventure_of_the_veiled_lodger,1927-01-01,4551,1011,14677
5_the_case_book_of_sherlock_holmes,the_adventure_of_shoscombe_old_place,the_adventure_of_shoscombe_old_place,1927-03-01,6401,1268,14744
