Oxfordshire,Bedfordshire,1.6051943138207163
Northumberland Avenue,Northumberland Hotel,1.6055532675122395
London,London Road,1.6071067811865474
Alpha Inn,Alpha,1.6071067811865474
Oxford,Oxfordshire,1.6071067811865474
Mackleton,Mackleton Station,1.6071067811865474
Holland,Holland Grove,1.6071067811865476
Langham,Langham Hotel,1.6071067811865476
Waterloo Bridge,Waterloo,1.6071067811865476
Victoria,Victoria Street,1.6071067811865476
Vermissa Valley,Vermissa,1.6071067811865476
South Australia,Australia,1.6130718031613114
Staples,Stapleton,1.6133545031536989
Stamford,Camford,1.6207230990168087
Lone Star,The Lone Star,1.6220521364832816
United States,United States of America,1.6266629446015717
Charlington Hall,Charlington Wood,1.6266666666666667
New Street,Bow Street,1.6296296296296295
Paddington,Paddington Station,1.6334892280501756
Kensington,Kensington Outrage,1.6334892280501756
Liverpool,Liverpool Street,1.6369634100068882
England,New England,1.64126333590815
Merripit House,Merripit,1.6414916933976507
Fenchurch Street,Church Street,1.6426188644771957
Andaman Islander,Andaman Isles,1.64535599249993
Brixton Road,Brixton,1.6476398549669056
Chatham,Chatham Road,1.6476398549669056
Bedford,Bedfordshire,1.6476398549669056
Grimpen,Grimpen Mire,1.6476398549669056
Grimpen,Grimpen Road,1.6476398549669056
Kensington,Kennington,1.6592592592592592
Northumberland Fusiliers,Northumberland,1.6648528898169817
Lord Street,Lombard Street,1.667044525068634
Hampstead,Hampstead Heath,1.6702146603041688
Southsea,South,1.6702146603041688
Birlstone,Birlstone Manor,1.6702146603041688
Birlstone,Birlstone Ridge,1.6702146603041688
Mapleton,Stapleton,1.6708313447848924
Amberley,Kimberley,1.6708313447848924
Amberley,Lamberley,1.6708313447848924
Scotland Yard,Scotland,1.6804292824926401
Waterloo,Waterloo Road,1.6804292824926401
Herefordshire,Hereford,1.6804292824926401
Atlantic,Atlanta,1.681040559334269
Andaman Islands,Andaman Isles,1.681040559334269
Charlington Hall,Charlington Heath,1.6845966692414835
Westminster,Westminster Bridge,1.6846120476709
Hammersmith,Hammersmith Bridge,1.6846120476709
Brixton Road,Lower Brixton Road,1.6867526077163144
Upper Swandam Lane,Swandam Lane,1.6867526077163144
The Gables,Three Gables,1.6888787370558545
Baskerville Hall,Baskervilles,1.6936504593130381
Charing Cross,Charing Cross Station,1.6945966692414833
Holborn,Holborn Bar,1.6945966692414833
London Bridge,London Bridge Station,1.6945966692414833
South America,South Africa,1.6969858154370039
Lord Street,Oxford Street,1.7049171695910825
Esq,Esq.,1.705385469816615
Lancaster,Lancaster Gate,1.7075414636296593
Shoscombe Park,Shoscombe,1.7075414636296593
Cambridge,Cambridgeshire,1.7075414636296593
Charlington,Charlington Heath,1.7155694150420948
Pondicherry,Pondicherry Lodge,1.7155694150420948
Waterloo Road,Waterloo Bridge Road,1.7210352037127103
Gloucester Road,Gloucester Road Station,1.7249967624901927
Camberwell,Camberwell Road,1.7303551543087017
Gloucester Road,Gloucester,1.7303551543087017
Kennington Road,Kennington,1.7303551543087017
Kennington,Kennington Lane,1.7303551543087017
Northumberland Avenue,Northumberland,1.736225774829855
Darlington,Charlington,1.739570339007864
Coburg Square,Saxe-Coburg Square,1.7421288347305315
Cadogen West,Cadogan West,1.7454545454545456
Southampton,Southampton Road,1.7498299142610594
Westminster,Westminster Road,1.7498299142610594
Notting,Nottingham,1.7498299142610594
Holdernesse Hall,Holdernesse,1.7498299142610594
Charlington,Charlington Hall,1.7498299142610594
Charlington,Charlington Wood,1.7498299142610594
Baskerville,Baskerville Hall,1.7498299142610594
Northumberland Hotel,Northumberland,1.764012297131669
West Indies,West India,1.7810518204893455
Lower Brixton Road,Lower Brixton,1.7813445210050411
Edgeware Road,Edgware Road,1.8017014110916203
Waterloo Bridge,Waterloo Bridge Road,1.8057634963315838
Vauxhall Bridge Road,Vauxhall Bridge,1.8057634963315838
Andaman Islander,Andaman Islands,1.8561328461926796
Berkshires,Berkshire,1.9205868193598412
Brixton Workhouse Infirmary,Brixton Workhoused Infirmary,1.921057072613374
Montpellier,Montpelier,1.9286832980505138
Baskerville,Baskervilles,1.9352807710637743
location1,location2,similarity